Marker_name	Chromosome	Marker_position
A11959	chr19	58501569
A11960	chrX	103358677
A11961	chr15	45007375
A11962	chr15	85320762
A11963	chr15	44644441
A11964	chr11	113853319
A11965	chr11	114156258
A11966	chr16	20672385
A11967	chr16	71803008
A11968	chr15	87128755
A11969	chr17	33585364
A11970	chr15	43940508
A11971	chr15	44001034
A11972	chr19	57000327
A11973	chr16	15623518
A11974	chr16	15712633
A11975	chr11	18135849
A11976	chr11	18109560
A11977	chr11	57414988
A11978	chr15	64451707
A11979	chr11	18453729
A11980	chr15	64375487
A11981	chr11	18489259
A11982	chr11	58916366
A11983	chr15	64668539
A11984	chr15	90175351
A11985	chr16	75148213
A11986	chr15	90215127
A11987	chr15	90227504
A11988	chr16	75488173
A11989	chr15	90293216
A11990	chr15	90343376
A11991	chr16	23211120
A11992	chr15	65049938
A11993	chr11	19757707
A11994	chr15	65227571
A11995	chr11	58741935
A11996	chr18	51897937
A11997	chr16	23666954
A11998	chr16	75738727
A11999	chr16	23695332
A12000	chr15	65459118
A12001	chr12	57389349
A12002	chr12	57396424
A12003	chr22	37029785
A12004	chr12	57413225
A12005	chr12	57433641
A12006	chr16	23768110
A12007	chr12	57465636
A12008	chr11	59224937
A12009	chr12	57485968
A12010	chr15	42475706
A12011	chr12	57507556
A12012	chr11	59420321
A12013	chr12	58343188
A12014	chr22	37793752
A12015	chr11	59527141
A12016	chr11	59575976
A12017	chr12	57991077
A12018	chr15	31257477
A12019	chr20	43525745
A12020	chr10	135060688
A12021	chr15	45731843
A12022	chr15	32961588
A12023	chr15	33018522
A12024	chr7	100086986
A12025	chr7	100068942
A12026	chr11	60133186
A12027	chr11	60154689
A12028	chr11	60165582
A12029	chr11	60209874
A12030	chr15	66605895
A12031	chr15	43482356
A12032	chr15	43455952
A12033	chr20	2387476
A12034	chr15	67421817
A12035	chr11	60475165
A12036	chr18	30769215
A12037	chr11	60534315
A12038	chr15	43813487
A12039	chr15	91502224
A12040	chr16	53531637
A12041	chr18	32640163
A12042	chr21	33836010
A12043	chr6	167585151
A12044	chr12	57890290
A12045	chr12	57919212
A12046	chr7	99720185
A12047	chr15	44052033
A12048	chr16	56474578
A12049	chr7	100818665
A12050	chr15	45260163
A12051	chr8	23538323
A12052	chr22	25262890
A12053	chr22	31055957
A12054	chr22	41779333
A12055	chr22	42145481
A12056	chr17	47228586
A12057	chr9	128619640
A12058	chr17	47284044
A12059	chr17	47486830
A12060	chr18	19201322
A12061	chr9	130486112
A12062	chr20	31581909
A12063	chr17	48197325
A12064	chr9	130688117
A12065	chr20	31625653
A12066	chr17	48353805
A12067	chr9	130722825
A12068	chr17	48527862
A12069	chr9	131028191
A12070	chr9	131078201
A12071	chr9	131090583
A12072	chr9	131113337
A12073	chr17	48841654
A12074	chr9	131143306
A12075	chr9	131186828
A12076	chr9	131848048
A12077	chr17	42979634
A12078	chr9	131582854
A12079	chr15	74173752
A12080	chr9	132456397
A12081	chr2	234641099
A12082	chr15	75496247
A12083	chr15	74411766
A12084	chr17	45989919
A12085	chr17	46032288
A12086	chr16	19085169
A12087	chr16	19883052
A12088	chr17	1345219
A12089	chr16	30036856
A12090	chr15	75556740
A12091	chr15	76211904
A12092	chr15	78323222
A12093	chr16	50747251
A12094	chr16	50707737
A12095	chr18	44146965
A12096	chr18	44562556
A12097	chr18	44655332
A12098	chr17	35741295
A12099	chr19	23533077
A12100	chr17	34342550
A12101	chr11	2160587
A12102	chr11	117130251
A12103	chr17	37669462
A12104	chr16	68027893
A12105	chr16	68067436
A12106	chr12	121017884
A12107	chr17	77077851
A12108	chr17	77349488
A12109	chr11	118287040
A12110	chr11	118211564
A12111	chr17	77957894
A12112	chr17	79207484
A12113	chr18	47535323
A12114	chr11	3661639
A12115	chr18	47325099
A12116	chr11	3995098
A12117	chr11	4138021
A12118	chr11	4710242
A12119	chr11	4624695
A12120	chr11	4869908
A12121	chr11	5462272
A12122	chr11	5443888
A12123	chr17	80701262
A12124	chr16	29825189
A12125	chr16	71489249
A12126	chr19	44094404
A12127	chr19	44675880
A12128	chr19	44937225
A12129	chr19	44992215
A12130	chr20	23970510
A12131	chrX	321194
A12132	chr16	31078902
A12133	chr16	31090630
A12134	chr16	31104732
A12135	chr19	47137637
A12136	chr17	56320894
A12137	chr17	58237778
A12138	chr17	57289684
A12139	chr19	16147521
A12140	chr19	16195822
A12141	chr19	16233741
A12142	chr19	1105361
A12143	chr19	1253847
A12144	chr19	2261004
A12145	chr19	17649379
A12146	chr19	18764542
A12147	chr19	19558187
A12148	chr17	18402617
A12149	chr16	88723956
A12150	chr16	88872643
A12151	chr16	88925861
A12152	chr16	89445503
A12153	chr16	89730945
A12154	chr17	27034543
A12155	chr16	89629007
A12156	chr12	48739494
A12157	chr12	48962658
A12158	chr12	49215150
A12159	chr17	27227444
A12160	chr17	27896622
A12161	chr12	49433157
A12162	chr17	27945849
A12163	chr12	49461138
A12164	chr12	49580843
A12165	chr12	49624816
A12166	chr19	52855264
A12167	chr19	52911383
A12168	chr19	53074751
A12169	chr19	40948681
A12170	chr12	50203731
A12171	chr19	41293484
A12172	chr12	50348594
A12173	chr12	50501352
A12174	chr19	36255487
A12175	chr19	41706199
A12176	chr19	41746389
A12177	chr19	36385880
A12178	chr19	54670395
A12179	chr12	52283596
A12180	chr19	54873763
A12181	chr19	54937236
A12182	chr19	54966641
A12183	chr19	54980310
A12184	chr19	55015498
A12185	chr19	42823345
A12186	chr19	42728388
A12187	chr8	141105632
A12188	chr19	55307208
A12189	chr19	55456278
A12190	chr19	36717590
A12191	chr19	44342375
A12192	chr19	38744554
A12193	chr19	38758964
A12194	chr19	38795225
A12195	chr19	38801833
A12196	chr19	55674060
A12197	chr8	143757934
A12198	chr19	3903969
A12199	chr8	143867152
A12200	chr19	3964786
A12201	chr19	3980760
A12202	chr19	4297328
A12203	chr19	4423837
A12204	chr19	4451407
A12205	chr19	4509960
A12206	chr19	4551210
A12207	chr19	56658115
A12208	chr17	792781
A12209	chr17	640929
A12210	chr17	672959
A12211	chr8	145735526
A12212	chr8	145730456
A12213	chr8	145695505
A12214	chr17	1502370
A12215	chr17	1551407
A12216	chr17	1652346
A12217	chr17	1630855
A12218	chr17	2217615
A12219	chr17	2233299
A12220	chr17	3437542
A12221	chr19	5684574
A12222	chr17	4068533
A12223	chr17	4462167
A12224	chr19	51304573
A12225	chr19	51324723
A12226	chr19	51411801
A12227	chr19	51374323
A12228	chr19	51451454
A12229	chr19	51467408
A12230	chr19	51528383
A12231	chr19	51563917
A12232	chr19	53145531
A12233	chr12	52574282
A12234	chr12	53071355
A12235	chr19	6319896
A12236	chr11	63761304
A12237	chr11	63681504
A12238	chr19	8433715
A12239	chr19	8370125
A12240	chr12	53465796
A12241	chr12	53493674
A12242	chr12	53507812
A12243	chr19	8931692
A12244	chr11	67288641
A12245	chr11	67377164
A12246	chr11	67275044
A12247	chr19	10166645
A12248	chr11	67396405
A12249	chr11	67402902
A12250	chr19	12910164
A12251	chr11	55904720
A12252	chr11	55703404
A12253	chr17	5017623
A12254	chr17	5391869
A12255	chr17	72539764
A12256	chr17	72471744
A12257	chr17	6713766
A12258	chr17	72958049
A12259	chr17	73013060
A12260	chr17	73039019
A12261	chr17	7758900
A12262	chr17	74012058
A12263	chr17	74051959
A12264	chr17	74905506
A12265	chr17	76132950
A12266	chr17	76176737
A12267	chr8	56647474
A12268	chr8	59407766
A12269	chr17	38126622
A12270	chr17	38857122
A12271	chr17	38983940
A12272	chr17	40343674
A12273	chr16	302243
A12274	chr17	41833627
A12275	chr16	859652
A12276	chr16	2053739
A12277	chr16	2197485
A12278	chr16	2256833
A12279	chr16	2279655
A12280	chr16	2287264
A12281	chr16	2295848
A12282	chr16	2236855
A12283	chr16	2358314
A12284	chr16	2745753
A12285	chr16	2812434
A12286	chr16	3489823
A12287	chr16	3608217
A12288	chr11	61206257
A12289	chr11	61088495
A12290	chr11	60913408
A12291	chr11	61044329
A12292	chr11	61676257
A12293	chr11	61725140
A12294	chr11	61731161
A12295	chr11	62467532
A12296	chr11	62531599
A12297	chr11	62639935
A12298	chr11	63243771
A12299	chr11	63588025
A12300	chr11	72540036
A12301	chr11	73803009
A12302	chr3	36927429
A12303	chr3	39164773
A12304	chr3	39451106
A12305	chr3	40449378
A12306	chr3	41268957
A12307	chr3	41646006
A12308	chr11	70051382
A12309	chr11	65316338
A12310	chr11	64819155
A12311	chr11	64810336
A12312	chr11	64759966
A12313	chr11	64331722
A12314	chr11	64539168
A12315	chr11	64563501
A12316	chr11	64722273
A12317	chr11	64116350
A12318	chr8	27512839
A12319	chr8	27681374
A12320	chr8	27788821
A12321	chr8	28187687
A12322	chr7	99688200
A12323	chr11	117031296
A12324	chr16	4765446
A12325	chr16	4744777
A12326	chr6	56915685
A12327	chr1	229424231
A12328	chr21	14476868
A12329	chr16	3254717
A12330	chr6	27905712
A12331	chr6	27879568
A12332	chr22	38836768
A12333	chr3	9480111
A12334	chr16	4427689
A12335	chr6	54759194
A12336	chr1	228612786
A12337	chr4	83831479
A12338	chr16	3406406
A12339	chr1	228679114
A12340	chr8	42818878
A12341	chr14	55527629
A12342	chr10	74034736
A12343	chr4	26300809
A12344	chr6	70446348
A12345	chr4	25343206
A12346	chr14	52738936
A12347	chr18	21644155
A12348	chr3	52325188
A12349	chr6	26273383
A12350	chr1	235762520
A12351	chr5	171673859
A12352	chr7	102195734
A12353	chr17	40170529
A12354	chr17	40150922
A12355	chr14	50554865
A12356	chr9	2723769
A12357	chr1	234742643
A12358	chr10	23482218
A12359	chr3	52563728
A12360	chr5	169534814
A12361	chr3	52590641
A12362	chr6	26217438
A12363	chr1	234514498
A12364	chr2	149758046
A12365	chr14	50088843
A12366	chr10	22615276
A12367	chr16	67877155
A12368	chr2	150435239
A12369	chr3	58416470
A12370	chr3	58365177
A12371	chr6	26156951
A12372	chr8	52770937
A12373	chr3	58482964
A12374	chr7	40169940
A12375	chr3	58506954
A12376	chr3	58581590
A12377	chr4	185352300
A12378	chr3	39539829
A12379	chr3	39314105
A12380	chr8	49977759
A12381	chr3	39229394
A12382	chr14	36004754
A12383	chr14	100619628
A12384	chr3	38939656
A12385	chr16	86374369
A12386	chr3	57570518
A12387	chr2	242273978
A12388	chr3	99691171
A12389	chr1	40428220
A12390	chr2	242620781
A12391	chr6	32817370
A12392	chr2	242655171
A12393	chr2	242594950
A12394	chr14	96690841
A12395	chr16	74720305
A12396	chr6	25124170
A12397	chr16	74678035
A12398	chr4	187465765
A12399	chr16	84264589
A12400	chr4	40220630
A12401	chr2	239054475
A12402	chr16	23432157
A12403	chr6	110538411
A12404	chr11	63962379
A12405	chr16	23341086
A12406	chr8	21981412
A12407	chr18	9887517
A12408	chr18	9785355
A12409	chr8	21997498
A12410	chr6	32046021
A12411	chr8	22009467
A12412	chr8	22018209
A12413	chr8	22046044
A12414	chr16	28841457
A12415	chr8	22083538
A12416	chr4	186379624
A12417	chr8	22107365
A12418	chr11	61562412
A12419	chr2	192705504
A12420	chr18	8769217
A12421	chr2	237075445
A12422	chr1	145415320
A12423	chr11	61959349
A12424	chr17	43242737
A12425	chr8	42915134
A12426	chr1	31894968
A12427	chr2	211167394
A12428	chr4	184607582
A12429	chr11	62682715
A12430	chr2	189858259
A12431	chr8	21608892
A12432	chr4	184429198
A12433	chr4	184367547
A12434	chr6	7601316
A12435	chr11	62549297
A12436	chr8	42335531
A12437	chr2	209026882
A12438	chr16	80579644
A12439	chr17	42266718
A12440	chr4	175825075
A12441	chr17	40502964
A12442	chr20	44511885
A12443	chr1	144821078
A12444	chr8	38908525
A12445	chr8	39514795
A12446	chr5	37826283
A12447	chr20	44378636
A12448	chr6	30915373
A12449	chr20	44334055
A12450	chr17	63541223
A12451	chr1	39496149
A12452	chr2	98816670
A12453	chr19	35426940
A12454	chr5	36053289
A12455	chr8	127567662
A12456	chr18	13435125
A12457	chr16	67341998
A12458	chr1	110919587
A12459	chr5	35866251
A12460	chr16	67262093
A12461	chr2	141939131
A12462	chr20	43752586
A12463	chr1	110546832
A12464	chr5	34944383
A12465	chr20	43206657
A12466	chr4	106870558
A12467	chr20	43087304
A12468	chr16	66883169
A12469	chr2	97612897
A12470	chr2	97530973
A12471	chr2	97490815
A12472	chr1	110203410
A12473	chr4	106134002
A12474	chr4	105402763
A12475	chr12	124174304
A12476	chr3	157819620
A12477	chr15	43854045
A12478	chr4	99485649
A12479	chr6	29364932
A12480	chr17	27890860
A12481	chr9	37451753
A12482	chr16	69159200
A12483	chr15	43634484
A12484	chr15	43621388
A12485	chr16	69281993
A12486	chr3	159710171
A12487	chr19	32857536
A12488	chr4	4480771
A12489	chr4	4307718
A12490	chr3	158386215
A12491	chr9	35869918
A12492	chr6	87686686
A12493	chr4	162695118
A12494	chr13	41446161
A12495	chr16	70394009
A12496	chr2	85996828
A12497	chr3	137483987
A12498	chr11	94229772
A12499	chr2	85890150
A12500	chr2	85853191
A12501	chr4	2750739
A12502	chr2	85836483
A12503	chr2	85827995
A12504	chr2	85823792
A12505	chr2	85816033
A12506	chr5	180424786
A12507	chr15	99861250
A12508	chr2	85769345
A12509	chr15	42441085
A12510	chr9	34522038
A12511	chr5	124028554
A12512	chr3	136556111
A12513	chr2	234020613
A12514	chr4	1835590
A12515	chr16	75255860
A12516	chr16	75239538
A12517	chr11	89536283
A12518	chr4	1720382
A12519	chr5	122365690
A12520	chrX	155004797
A12521	chr5	122719932
A12522	chr14	25399182
A12523	chr2	228236791
A12524	chr2	228206208
A12525	chr11	88518428
A12526	chr17	25966705
A12527	chr5	22147463
A12528	chr15	42130323
A12529	chr2	96212797
A12530	chr4	799365
A12531	chr6	3737554
A12532	chr19	51651169
A12533	chr2	11804297
A12534	chr2	11595399
A12535	chr15	68579172
A12536	chr4	47459310
A12537	chr4	667176
A12538	chr19	29701310
A12539	chr4	679424
A12540	chr2	228104394
A12541	chr15	66731902
A12542	chr19	51483542
A12543	chr5	70676716
A12544	chr5	179051482
A12545	chr2	227630254
A12546	chrX	153325118
A12547	chrX	6452409
A12548	chr13	115059171
A12549	chr3	167028604
A12550	chr5	56777241
A12551	chr9	94518908
A12552	chr6	118823331
A12553	chrX	66857463
A12554	chrX	2279201
A12555	chr8	67401498
A12556	chr3	122485758
A12557	chrX	1547343
A12558	chrX	1508331
A12559	chr15	40764256
A12560	chr4	75916815
A12561	chr15	64553079
A12562	chr8	59011953
A12563	chr10	28176046
A12564	chr10	116109549
A12565	chr5	178148148
A12566	chr19	50434575
A12567	chr8	48949114
A12568	chr8	37794723
A12569	chr9	129583887
A12570	chr19	50205571
A12571	chr1	55517873
A12572	chr16	28166270
A12573	chr16	27936840
A12574	chr22	28170875
A12575	chrX	55031140
A12576	chr16	27258213
A12577	chr7	23660662
A12578	chr5	131994378
A12579	chr14	22070512
A12580	chr14	22038404
A12581	chr1	52415032
A12582	chr1	247875575
A12583	chr16	30364384
A12584	chr1	38088773
A12585	chr5	176792220
A12586	chr16	30375004
A12587	chr5	176768708
A12588	chr1	247705676
A12589	chr5	176729472
A12590	chr5	176732367
A12591	chr1	155172110
A12592	chrX	15756350
A12593	chr1	155109574
A12594	chr1	155103634
A12595	chr4	76943461
A12596	chr16	21436723
A12597	chr5	148372964
A12598	chr4	76958701
A12599	chrX	15824989
A12600	chr3	160896902
A12601	chr5	148207176
A12602	chr3	160812421
A12603	chr5	176029968
A12604	chr5	53751826
A12605	chr3	156006017
A12606	chr4	78828809
A12607	chr1	154458418
A12608	chrX	30325019
A12609	chr4	37846406
A12610	chr5	146690970
A12611	chrX	29290178
A12612	chr3	151078884
A12613	chr22	24106628
A12614	chr7	57269871
A12615	chr14	21623624
A12616	chr15	79744745
A12617	chr16	20393275
A12618	chr16	20355998
A12619	chr16	20330012
A12620	chr3	155555515
A12621	chr15	75904617
A12622	chr12	94179883
A12623	chr15	75704951
A12624	chr3	93736747
A12625	chr14	21424103
A12626	chr19	48513159
A12627	chr14	21360032
A12628	chr8	141840157
A12629	chr7	6816368
A12630	chr1	28497062
A12631	chr15	75815546
A12632	chr14	21249918
A12633	chr1	153658790
A12634	chr8	140664190
A12635	chr4	74607828
A12636	chr2	167142099
A12637	chr4	74461807
A12638	chr8	139763363
A12639	chr8	97564789
A12640	chr1	26645731
A12641	chrX	135050225
A12642	chr1	153004527
A12643	chr1	152957423
A12644	chr14	20482885
A12645	chr14	20444210
A12646	chr8	38850335
A12647	chr8	38838932
A12648	chr8	38795090
A12649	chr1	25121331
A12650	chr2	165782365
A12651	chr13	99953221
A12652	chr1	152487732
A12653	chr19	46915235
A12654	chr11	28242424
A12655	chr22	22871336
A12656	chr11	26587180
A12657	chrX	134297891
A12658	chr2	145211897
A12659	chrX	70440205
A12660	chr2	70315458
A12661	chr5	130501074
A12662	chr5	118248628
A12663	chr22	22599507
A12664	chr9	139890171
A12665	chr16	30011864
A12666	chr15	83939060
A12667	chr1	3787919
A12668	chr2	69643821
A12669	chr2	69358384
A12670	chr2	69204905
A12671	chr2	113508092
A12672	chr15	83668793
A12673	chr15	83657384
A12674	chr2	68876714
A12675	chr2	68776348
A12676	chr16	30204941
A12677	chr2	113159867
A12678	chr22	21788722
A12679	chr1	23457408
A12680	chr17	80388357
A12681	chr22	21646962
A12682	chr22	21466939
A12683	chr4	9784445
A12684	chr2	111415483
A12685	chr16	28990705
A12686	chr17	79985102
A12687	chr15	78872736
A12688	chr16	56686463
A12689	chr17	79979280
A12690	chr9	139574735
A12691	chr17	79954982
A12692	chr3	128780429
A12693	chr17	80046211
A12694	chr3	128895546
A12695	chr16	56660205
A12696	chr1	2938755
A12697	chr17	80019572
A12698	chr17	80011956
A12699	chr17	80007742
A12700	chr17	79994310
A12701	chr10	44141805
A12702	chr4	16701798
A12703	chr17	79990790
A12704	chr15	76290223
A12705	chr2	109227279
A12706	chr15	76436820
A12707	chr3	173559254
A12708	chr4	16195580
A12709	chr2	64093385
A12710	chr5	9670799
A12711	chr15	78009305
A12712	chrY	24321909
A12713	chr10	43892839
A12714	chr3	15665088
A12715	chr10	43657345
A12716	chr4	104574080
A12717	chr13	28367842
A12718	chr4	30935229
A12719	chr3	79231677
A12720	chr15	53066455
A12721	chr15	34244902
A12722	chr3	152554288
A12723	chr21	10862844
A12724	chr5	11438053
A12725	chr7	100731868
A12726	chr7	100682686
A12727	chr16	31539654
A12728	chr12	49362334
A12729	chr1	1847500
A12730	chrX	17068104
A12731	chr7	100579152
A12732	chrX	16760607
A12733	chr16	31307762
A12734	chr16	31227981
A12735	chr7	65777858
A12736	chr3	149206414
A12737	chr1	179828020
A12738	chrX	16670537
A12739	chr3	149091230
A12740	chr1	20224222
A12741	chr15	31969160
A12742	chr7	65436486
A12743	chr9	136914542
A12744	chr15	31673463
A12745	chrX	12449613
A12746	chr8	106573840
A12747	chr16	30567452
A12748	chrY	20941937
A12749	chr16	30541956
A12750	chr16	30536733
A12751	chr1	1268690
A12752	chr3	44905261
A12753	chr2	128101173
A12754	chr1	1245502
A12755	chr6	144416386
A12756	chr3	44696251
A12757	chr4	153695711
A12758	chr1	19256977
A12759	chr17	7315686
A12760	chr2	128344341
A12761	chr17	7802101
A12762	chr4	153570550
A12763	chr3	40076108
A12764	chr3	105190748
A12765	chr7	75972232
A12766	chr2	181886643
A12767	chr17	7844327
A12768	chr17	7834552
A12769	chr3	102008386
A12770	chr17	7829149
A12771	chr14	94937540
A12772	chr5	177172690
A12773	chr1	202097353
A12774	chr5	175719179
A12775	chr4	166062637
A12776	chr14	94780158
A12777	chr16	89289740
A12778	chr15	23071641
A12779	chr9	117327
A12780	chr1	200842694
A12781	chr3	23890100
A12782	chr2	178082988
A12783	chr11	111537346
A12784	chr4	141957496
A12785	chr17	16650309
A12786	chr6	117590724
A12787	chr2	177016952
A12788	chr17	7354703
A12789	chr2	176965433
A12790	chr4	145046180
A12791	chr4	144125526
A12792	chr17	73093039
A12793	chr20	25599191
A12794	chr11	113264826
A12795	chr5	159371670
A12796	chr9	67793524
A12797	chr17	10607730
A12798	chr5	159640058
A12799	chr5	159517619
A12800	chr15	50815832
A12801	chr11	11921920
A12802	chr3	33875519
A12803	chr11	18958207
A12804	chr7	148944721
A12805	chr21	33675609
A12806	chr2	62066633
A12807	chr7	148907958
A12808	chr3	33088411
A12809	chr14	93671339
A12810	chr5	154218431
A12811	chr3	33172368
A12812	chr7	148300304
A12813	chr8	87661054
A12814	chr11	107584261
A12815	chr17	7158997
A12816	chr3	32345994
A12817	chr17	7144711
A12818	chr17	20361780
A12819	chr17	9316848
A12820	chr10	62546349
A12821	chr17	16285085
A12822	chr11	129749508
A12823	chr8	82393076
A12824	chr10	49423771
A12825	chr11	129821165
A12826	chr2	62437557
A12827	chr14	75747205
A12828	chr14	75620753
A12829	chr7	143948594
A12830	chr3	4352119
A12831	chr4	146440788
A12832	chr20	23858479
A12833	chr20	23805887
A12834	chr10	119305505
A12835	chr20	23730047
A12836	chr12	53729730
A12837	chr7	143372772
A12838	chr7	83135774
A12839	chr1	204620579
A12840	chr1	211748497
A12841	chr4	151089017
A12842	chr2	185633656
A12843	chr17	72434391
A12844	chr2	103406859
A12845	chr7	54624395
A12846	chr12	53317357
A12847	chr12	53237232
A12848	chr17	15863645
A12849	chr12	57322563
A12850	chr10	131415859
A12851	chr12	56076862
A12852	chr12	52673015
A12853	chr5	140062183
A12854	chr4	47882955
A12855	chr12	52823081
A12856	chr12	31639594
A12857	chr5	140012299
A12858	chr5	138762229
A12859	chr12	52864934
A12860	chr5	138736014
A12861	chr20	37154481
A12862	chr12	56310799
A12863	chr5	138724469
A12864	chr12	53204334
A12865	chr5	138711563
A12866	chr12	52963587
A12867	chr2	101524952
A12868	chr12	52987347
A12869	chr1	204162541
A12870	chr2	100914474
A12871	chr4	88362170
A12872	chr4	88234499
A12873	chr12	56502897
A12874	chr4	46824048
A12875	chr4	111043678
A12876	chr12	52711633
A12877	chr10	6232188
A12878	chr16	19035260
A12879	chr16	18807995
A12880	chr6	2895507
A12881	chr12	51651508
A12882	chr5	3598842
A12883	chr18	25644170
A12884	chr5	2749464
A12885	chr5	49715554
A12886	chr2	45234434
A12887	chr18	3975682
A12888	chr12	56744660
A12889	chr5	162880339
A12890	chr6	138397
A12891	chr19	46388121
A12892	chr12	55524025
A12893	chr5	132414897
A12894	chr19	46372151
A12895	chr5	156591066
A12896	chr7	103039900
A12897	chr8	145557085
A12898	chr8	146072774
A12899	chr5	155746076
A12900	chr12	54858560
A12901	chr7	102868218
A12902	chr8	146166009
A12903	chr7	102727766
A12904	chr12	121853116
A12905	chr2	54365206
A12906	chr22	50631185
A12907	chr11	100863737
A12908	chr12	53960919
A12909	chr7	102140560
A12910	chr18	67976786
A12911	chr9	103345274
A12912	chr11	7960611
A12913	chr19	45577302
A12914	chr11	7870714
A12915	chr17	46701178
A12916	chr17	46867086
A12917	chr8	145500568
A12918	chr6	43565294
A12919	chr11	7375141
A12920	chr2	18300998
A12921	chr11	7111272
A12922	chr10	32321648
A12923	chr7	124395866
A12924	chr15	86108194
A12925	chr9	6330124
A12926	chr14	105481697
A12927	chr11	6898353
A12928	chr8	57222952
A12929	chr10	82106186
A12930	chr11	6891450
A12931	chr8	57127801
A12932	chr4	8290165
A12933	chr2	48574104
A12934	chr11	6806746
A12935	chr7	123300102
A12936	chr3	133156452
A12937	chr2	49285486
A12938	chr9	135960334
A12939	chr17	58378143
A12940	chr9	135942306
A12941	chr17	58709696
A12942	chr3	71804424
A12943	chr19	43414973
A12944	chr7	32920763
A12945	chr3	97675981
A12946	chr12	120882989
A12947	chr19	55222327
A12948	chr3	14231238
A12949	chr19	54804903
A12950	chr4	6834499
A12951	chr8	125651880
A12952	chr3	14175809
A12953	chr8	125493567
A12954	chr19	54728736
A12955	chr12	120762753
A12956	chr4	5018756
A12957	chr19	54695687
A12958	chr3	129694964
A12959	chr6	52851463
A12960	chr11	105879740
A12961	chr19	54609300
A12962	chr19	54601966
A12963	chr6	52249397
A12964	chr4	123826987
A12965	chr13	45940676
A12966	chr19	9237157
A12967	chr17	61295988
A12968	chr19	9213463
A12969	chrX	107224847
A12970	chr6	51716260
A12971	chr19	9204372
A12972	chrX	107029437
A12973	chr11	31422391
A12974	chr19	8948545
A12975	chr19	53588274
A12976	chr6	49754209
A12977	chr11	124413076
A12978	chr19	53623731
A12979	chr11	6341026
A12980	chr19	42307980
A12981	chr11	31121636
A12982	chr8	122638993
A12983	chr11	103906510
A12984	chrX	133799110
A12985	chr11	103908615
A12986	chr8	11436336
A12987	chr1	101704759
A12988	chrX	131927733
A12989	chr11	123810797
A12990	chr15	55856116
A12991	chr19	7960145
A12992	chr8	79472938
A12993	chr8	10906215
A12994	chr8	143389021
A12995	chr19	52264529
A12996	chr19	52277894
A12997	chr11	125617975
A12998	chrX	130678490
A12999	chr2	36825900
A13000	chr8	10639317
A13001	chr8	10544125
A13002	chr11	68034136
A13003	chr3	125642165
A13004	chr2	29780036
A13005	chr9	131619997
A13006	chrX	149789432
A13007	chr19	51673682
A13008	chr9	136082647
A13009	chr2	29082927
A13010	chr19	7203155
A13011	chr3	179089099
A13012	chr7	150162099
A13013	chrX	148857125
A13014	chr19	5826074
A13015	chr3	178971160
A13016	chr19	5847192
A13017	chr2	42695197
A13018	chrX	148675573
A13019	chr7	149573920
A13020	chr2	46146806
A13021	chr9	114090281
A13022	chr3	9934135
A13023	chr19	14140407
A13024	chr3	9828119
A13025	chr2	46958179
A13026	chrX	119761826
A13027	chr9	130924373
A13028	chr10	99383827
A13029	chr1	249138062
A13030	chr1	249148774
A13031	chr9	130826998
A13032	chr2	28059098
A13033	chr1	248402698
A13034	chr21	31110802
A13035	chr4	71322461
A13036	chr4	71269755
A13037	chr4	71245885
A13038	chr11	85363301
A13039	chr11	85343604
A13040	chr10	104411208
A13041	chr16	47144761
A13042	chr4	71112725
A13043	chr6	155591414
A13044	chr11	64601450
A13045	chr20	34544466
A13046	chr19	12903217
A13047	chr10	71391679
A13048	chr2	120191786
A13049	chr4	69947893
A13050	chr19	4538453
A13051	chr16	46635002
A13052	chr7	16535655
A13053	chr17	78446295
A13054	chr15	38763119
A13055	chr19	11977053
A13056	chr19	11935557
A13057	chr17	78084516
A13058	chr17	76996874
A13059	chr2	26935953
A13060	chr10	99211527
A13061	chr12	105002432
A13062	chr10	99200836
A13063	chr10	99189557
A13064	chr8	61685401
A13065	chr8	27649811
A13066	chr17	39682214
A13067	chr17	39674388
A13068	chr1	46677969
A13069	chr17	39594935
A13070	chrX	49775558
A13071	chr5	677196
A13072	chr1	112422530
A13073	chrX	128784086
A13074	chr17	39316446
A13075	chr17	39659595
A13076	chrX	52894328
A13077	chr17	39725203
A13078	chrX	52844276
A13079	chr6	136344773
A13080	chr5	1799990
A13081	chr19	56151906
A13082	chr8	18054592
A13083	chr17	39036836
A13084	chrX	48626109
A13085	chr12	118148802
A13086	chr19	56112946
A13087	chr5	112591161
A13088	chr17	38935923
A13089	chr9	125685812
A13090	chr2	219825626
A13091	chr18	65179018
A13092	chr6	43487381
A13093	chr20	30986638
A13094	chr9	125512540
A13095	chr6	43421230
A13096	chr19	9772553
A13097	chr6	43306044
A13098	chr19	9723715
A13099	chr12	117005805
A13100	chr17	38407972
A13101	chr4	57531110
A13102	chrX	47991017
A13103	chr9	125437873
A13104	chrX	47973717
A13105	chr9	125391355
A13106	chr19	56542135
A13107	chr1	90167046
A13108	chrX	47866430
A13109	chr16	11937249
A13110	chr1	90344371
A13111	chr5	41034781
A13112	chr9	125330308
A13113	chr4	159637417
A13114	chr9	125315942
A13115	chr1	86408771
A13116	chr4	159612026
A13117	chr9	125289104
A13118	chr4	159405493
A13119	chr1	85318090
A13120	chr5	40686718
A13121	chr5	77075797
A13122	chr17	37762909
A13123	chr11	75339064
A13124	chr5	76930025
